id,s,t,h,r1,r2
0,933,743,12755,0.80496,0.80496
1,529,700,7836,0.34602,0.34602
2,752,256,737,0.5124,0.5124
3,119,711,4340,0.98448,0.98448
4,843,705,8826,0.46143,0.46143
5,393,330,6360,0.33105,0.33105
6,169,932,13261,0.72662,0.72662
7,847,972,13070,0.47044,0.47044
8,980,223,6372,0.55826,0.55826
9,592,164,7933,0.82882,0.82882
10,551,427,16570,0.1992,0.1992
11,624,635,17843,0.62008,0.62008
12,944,310,7954,0.57849,0.57849
13,484,363,19224,0.28621,0.28621
14,710,236,10714,0.23747,0.23747
15,431,929,15475,0.90041,0.90041
16,675,491,11384,0.2086,0.2086
17,344,134,14617,0.78599,0.78599
18,629,30,3465,0.60901,0.60901
19,126,743,17653,0.24563,0.24563
20,104,760,4520,0.77135,0.77135
21,620,256,6704,0.88152,0.88152
22,572,613,73,0.60449,0.60449
23,509,119,3240,0.36052,0.36052
24,695,49,18510,0.6292,0.6292
25,719,497,3350,0.51117,0.51117
26,596,649,15194,0.56632,0.56632
27,184,93,489,0.29397,0.29397
28,7,306,6140,0.21304,0.21304
29,754,352,11045,0.26296,0.26296
30,783,738,10744,1.03751,1.03751
31,690,330,15097,0.31895,0.31895
32,195,656,16862,0.37038,0.37038
33,11,427,8851,0.13108,0.13108
34,106,968,9454,0.56974,0.56974
35,1,510,9038,0.07645,0.07645
36,658,571,12585,0.48427,0.48427
37,814,847,12508,0.55748,0.55748
38,197,625,8151,0.44177,0.44177
39,931,18,14091,0.40289,0.40289
40,151,187,8493,0.58065,0.58065
41,179,995,2571,0.57664,0.57664
42,750,913,7150,0.83144,0.83144
43,134,273,2990,0.42294,0.42294
44,521,830,6083,0.21014,0.21014
45,557,678,18289,0.68906,0.68906
46,503,597,17448,0.79135,0.79135
47,893,988,15677,0.35446,0.35446
48,85,93,6555,0.33971,0.33971
49,720,211,12050,0.33381,0.33381
50,387,710,8356,0.00858,0.00858
51,887,668,2979,0.23134,0.23134
52,473,900,6416,0.52471,0.52471
53,105,183,5647,0.68516,0.68516
54,370,787,13348,0.12385,0.12385
55,410,905,3186,0.73128,0.73128
56,400,996,6648,0.7784,0.7784
57,585,860,11313,0.3457,0.3457
58,924,731,13047,0.77671,0.77671
59,386,219,687,0.2348,0.2348
60,415,55,8710,1.02189,1.02189
61,874,61,17156,0.73031,0.73031
62,602,268,18184,0.02659,0.02659
63,470,518,2976,0.3112,0.3112
64,89,106,15038,0.43938,0.43938
65,130,655,19347,0.88169,0.88169
66,993,974,15542,0.92378,0.92378
67,810,673,5068,0.70841,0.70841
68,730,95,18222,0.26554,0.26554
69,705,694,15693,0.05397,0.05397
70,873,353,8983,0.63186,0.63186
71,760,741,6283,0.75492,0.75492
72,644,143,7267,0.63159,0.63159
73,737,679,18778,0.84186,0.84186
74,149,529,7292,0.07274,0.07274
75,607,417,5043,0.8552,0.8552
76,787,373,17142,0.14825,0.14825
77,445,112,19169,0.71952,0.71952
78,595,153,502,0.40919,0.40919
79,183,717,11711,1.13493,1.13493
80,17,176,18116,0.673,0.673
81,776,399,16589,0.46422,0.46422
82,728,2,14290,0.05891,0.05891
83,455,870,1623,0.08011,0.08011
84,694,381,2595,0.39947,0.39947
85,480,604,7500,1.29578,1.29578
86,359,207,1054,0.24833,0.24833
87,79,702,18447,0.43579,0.43579
88,453,732,6217,0.34588,0.34588
89,432,563,16633,0.68414,0.68414
90,107,583,13773,0.48368,0.48368
91,467,116,5068,0.76518,0.76518
92,719,528,5354,0.48099,0.48099
93,107,256,18949,0.5733,0.5733
94,353,528,13263,0.49355,0.49355
95,430,477,816,0.70614,0.70614
96,520,204,17896,0.17598,0.17598
97,810,719,17580,0.45842,0.45842
98,298,131,12755,0.71022,0.71022
99,709,751,4858,0.35871,0.35871
100,817,652,4452,0.49392,0.49392
101,695,471,5497,0.60734,0.60734
102,625,978,15852,1.1982,1.1982
103,142,597,4824,0.33676,0.33676
104,732,917,2727,0.44802,0.44802
105,743,395,5075,0.77561,0.77561
106,407,936,4337,0.59158,0.59158
107,767,45,16580,0.74595,0.74595
108,340,398,2275,0.89592,0.89592
109,51,807,10131,0.76929,0.76929
110,997,978,8847,1.02257,1.02257
111,809,330,2857,0.14326,0.14326
112,716,161,7233,0.15238,0.15238
113,209,753,12910,0.2542,0.2542
114,130,634,8168,0.49612,0.49612
115,889,88,7323,0.70058,0.70058
116,692,401,4080,0.74606,0.74606
117,294,693,3844,0.32944,0.32944
118,949,765,7526,0.11126,0.11126
119,458,841,8510,0.57697,0.57697
120,943,229,11694,0.4605,0.4605
121,389,209,14909,0.85685,0.85685
122,754,243,18345,0.33289,0.33289
123,271,516,9750,0.34638,0.34638
124,277,912,5935,0.07727,0.07727
125,611,212,1892,0.46678,0.46678
126,92,123,14847,1.10408,1.10408
127,324,4,19678,0.48077,0.48077
128,602,804,16660,0.33211,0.33211
129,391,273,14775,0.75895,0.75895
130,906,759,13556,0.15669,0.15669
131,896,859,16838,0.58543,0.58543
132,358,577,7782,0.89329,0.89329
133,747,156,1176,0.86031,0.86031
134,605,454,13546,0.61358,0.61358
135,359,430,13883,0.23408,0.23408
136,883,24,15883,0.27623,0.27623
137,202,847,4956,0.8394,0.8394
138,49,792,19251,0.35976,0.35976
139,304,133,18480,0.41233,0.41233
140,842,414,13644,0.71231,0.71231
141,728,506,12131,0.65635,0.65635
142,0,992,16269,0.26998,0.26998
143,398,718,11854,0.76981,0.76981
144,975,579,18268,0.48481,0.48481
145,363,596,8258,0.10598,0.10598
146,916,466,6776,0.99747,0.99747
147,232,430,9934,0.41043,0.41043
148,155,571,18443,1.08851,1.08851
149,179,796,17623,0.84849,0.84849
150,216,903,10536,0.8191,0.8191
151,55,728,6175,0.90356,0.90356
152,905,29,9078,0.42135,0.42135
153,897,286,14416,0.9014,0.9014
154,377,682,15267,0.07273,0.07273
155,506,757,12462,0.34432,0.34432
156,580,641,17636,0.26178,0.26178
157,852,933,10385,0.73652,0.73652
158,490,616,19742,0.61133,0.61133
159,606,114,5175,0.25176,0.25176
160,647,227,7796,0.62015,0.62015
161,58,183,16117,0.47869,0.47869
162,742,374,2369,0.08403,0.08403
163,671,872,640,0.16451,0.16451
164,480,671,17011,0.70416,0.70416
165,717,481,1053,0.80377,0.80377
166,791,775,149,0.28709,0.28709
167,46,832,5194,0.74547,0.74547
168,858,226,1341,0.381,0.381
169,666,468,3287,0.63885,0.63885
170,703,463,1115,0.0152,0.0152
171,511,893,5947,0.71593,0.71593
172,957,831,17103,0.48572,0.48572
173,512,92,3333,0.9272,0.9272
174,220,223,2250,0.82306,0.82306
175,609,452,1436,0.60079,0.60079
176,728,976,5905,0.56496,0.56496
177,517,423,12389,0.48625,0.48625
178,704,936,6336,0.49164,0.49164
179,35,825,3514,0.77743,0.77743
180,964,426,18629,0.5006,0.5006
181,775,404,11406,0.19951,0.19951
182,873,258,6677,0.76698,0.76698
183,821,829,6823,0.396,0.396
184,224,226,3467,0.75842,0.75842
185,451,37,3410,0.27752,0.27752
186,625,379,5523,1.16391,1.16391
187,575,688,18374,0.4892,0.4892
188,820,78,10617,0.40016,0.40016
189,797,55,9790,0.81533,0.81533
190,228,402,8399,0.52715,0.52715
191,279,382,17363,0.32511,0.32511
192,261,327,3326,0.36993,0.36993
193,282,74,15064,0.84919,0.84919
194,342,697,11632,0.84657,0.84657
195,805,318,3042,0.11324,0.11324
196,938,320,3399,0.82243,0.82243
197,439,288,14680,0.43733,0.43733
198,527,856,19731,0.24984,0.24984
199,64,570,4025,0.36532,0.36532
200,267,338,2149,0.82678,0.82678
201,206,746,2846,0.27214,0.27214
202,970,810,675,0.23782,0.23782
203,142,596,12781,0.4802,0.4802
204,71,168,13894,0.74734,0.74734
205,7,312,10264,0.3799,0.3799
206,717,357,11062,0.72583,0.72583
207,854,990,3337,0.55673,0.55673
208,239,449,8312,0.67782,0.67782
209,711,974,19243,1.01091,1.01091
210,636,328,9718,0.71772,0.71772
211,493,267,16813,0.55522,0.55522
212,531,954,3294,0.74651,0.74651
213,983,283,19142,0.2629,0.2629
214,15,596,12154,0.56575,0.56575
215,534,651,19588,0.78324,0.78324
216,213,889,9975,0.78675,0.78675
217,885,397,1429,0.45896,0.45896
218,715,849,5236,0.52076,0.52076
219,513,888,7903,0.56374,0.56374
220,279,582,7744,0.65075,0.65075
221,866,546,19140,0.55945,0.55945
222,163,922,18160,0.75449,0.75449
223,45,236,1964,0.63933,0.63933
224,899,185,2972,0.48976,0.48976
225,817,992,7206,0.24998,0.24998
226,98,131,18954,0.95058,0.95058
227,184,186,12930,0.37478,0.37478
228,802,704,2680,0.37893,0.37893
229,577,187,14895,0.61233,0.61233
230,292,778,12303,0.40188,0.40188
231,287,619,4477,0.32102,0.32102
232,887,57,7778,0.56229,0.56229
233,553,888,5727,0.46078,0.46078
234,785,175,10948,0.44517,0.44517
235,809,353,17219,0.08108,0.08108
236,97,569,17445,0.55233,0.55233
237,168,238,11791,0.19233,0.19233
238,483,144,14452,0.43093,0.43093
239,100,942,1266,0.11394,0.11394
240,585,902,18663,0.46506,0.46506
241,145,519,16424,0.66904,0.66904
242,544,669,17302,0.11953,0.11953
243,760,697,16005,0.75754,0.75754
244,977,125,17443,0.88447,0.88447
245,778,350,3310,0.58361,0.58361
246,794,680,735,0.76764,0.76764
247,956,526,12894,0.6158,0.6158
248,975,296,3209,0.24064,0.24064
249,917,608,17849,0.4745,0.4745
250,845,282,19907,0.70347,0.70347
251,466,36,14386,0.07123,0.07123
252,304,643,9605,0.57455,0.57455
253,255,369,16336,0.62492,0.62492
254,323,879,5238,0.06953,0.06953
255,707,739,11263,0.41331,0.41331
256,123,918,16079,0.52577,0.52577
257,97,753,3734,0.49966,0.49966
258,269,334,11238,0.36579,0.36579
259,120,906,6469,0.56757,0.56757
260,680,70,421,0.57447,0.57447
261,762,375,8841,0.40797,0.40797
262,614,744,4042,0.51291,0.51291
263,326,43,12938,0.88151,0.88151
264,723,57,925,0.35826,0.35826
265,418,961,6943,0.58355,0.58355
266,811,766,11926,0.22974,0.22974
267,839,74,863,0.46286,0.46286
268,802,322,7289,0.54499,0.54499
269,922,236,9838,0.14694,0.14694
270,347,734,9453,0.65908,0.65908
271,311,9,12286,0.87741,0.87741
272,437,817,18937,0.8772,0.8772
273,150,603,4618,0.31571,0.31571
274,287,491,12863,0.38888,0.38888
275,55,205,15846,0.58457,0.58457
276,668,629,7937,0.27622,0.27622
277,811,250,2233,0.60047,0.60047
278,645,391,3624,1.16865,1.16865
279,774,564,6927,0.29799,0.29799
280,958,353,17550,0.48162,0.48162
281,174,783,25,0.58169,0.58169
282,407,8,17466,0.89307,0.89307
283,256,263,6202,0.13855,0.13855
284,249,895,17269,0.16609,0.16609
285,906,49,10416,0.68468,0.68468
286,449,853,632,0.82204,0.82204
287,739,64,1427,0.58512,0.58512
288,73,643,16271,0.79028,0.79028
289,59,547,11726,0.73951,0.73951
290,976,152,2958,0.7279,0.7279
291,404,348,748,0.49601,0.49601
292,265,510,17753,0.70734,0.70734
293,997,466,1813,1.10209,1.10209
294,883,128,11307,0.69817,0.69817
295,845,95,16207,0.81708,0.81708
296,49,419,10370,0.69462,0.69462
